nazwa_pliku_wejsciowego;WineQT.csv
liczba_wym_punktow;11
l_punktow;1143
k;3
czas_wczytania_pliku_wej [us];39905
czas_normalizacji [us];12.5
calkowity_czas_sortowania [us];179574
czas_obliczania_kNN [us];12601802
czas_obliczania_RkNN [us];12601802
czas_grupowania [us];616
czas_zapisywania_plikow_out_kNN [us];33890
calkowity_czas_dzialania [us];87951
calkowity_czas_dzialania-czas_zapisywania_plikow [us];54061
l_odkrytych_grup;124
l_odkrytych_p_szumu;247
l_odkrytych_p_rdzeniowych;677
l_odkrytych_p_brzegowych;219
srednia_l_obl_odl;2284
|TP|;12848
|TN|;396312
l_par_punktow;652653
RAND;0.626918
